age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,y
30,admin.,married,secondary,no,1794,no,no,cellular,20,nov,1035,yes
38,services,married,secondary,no,4017,no,no,cellular,4,aug,470,yes
53,blue-collar,married,secondary,no,-31,no,no,cellular,21,aug,82,no
48,management,married,tertiary,no,1147,no,no,cellular,5,aug,389,yes
36,admin.,married,secondary,no,1207,yes,no,cellular,19,nov,1792,yes
41,technician,single,secondary,no,650,yes,no,cellular,20,nov,2420,yes
47,admin.,single,secondary,no,1693,yes,no,cellular,22,oct,608,yes
30,technician,single,secondary,no,707,no,no,cellular,26,may,228,no
28,unemployed,single,primary,no,236,no,no,cellular,4,may,193,yes
29,technician,single,secondary,no,115,no,no,unknown,27,may,340,no
35,management,married,tertiary,no,376,no,no,cellular,19,nov,223,no
22,student,single,primary,no,3472,no,no,cellular,20,oct,332,yes
45,technician,married,secondary,no,297,no,no,cellular,28,jan,210,no
58,blue-collar,married,secondary,no,238,no,no,cellular,15,may,122,no
41,technician,single,tertiary,no,1646,yes,no,cellular,5,may,258,yes
49,services,married,secondary,no,7019,yes,no,cellular,2,jun,263,yes
46,management,single,secondary,no,295,yes,no,unknown,23,may,141,no
41,technician,single,tertiary,no,431,no,no,cellular,23,jul,196,yes
26,blue-collar,single,secondary,no,26,yes,yes,cellular,15,may,899,yes
51,technician,married,secondary,no,196,yes,yes,cellular,17,feb,88,yes
45,blue-collar,married,secondary,no,120,yes,yes,unknown,15,may,53,no
37,blue-collar,married,primary,no,403,yes,no,cellular,8,may,318,no
49,blue-collar,married,primary,no,128,no,no,cellular,12,aug,696,yes
57,retired,divorced,primary,no,2439,yes,no,unknown,14,may,32,no
35,blue-collar,married,secondary,no,1454,yes,no,cellular,12,aug,323,yes
36,blue-collar,married,secondary,no,0,yes,no,cellular,8,may,113,no
29,blue-collar,single,tertiary,no,1012,yes,no,unknown,19,may,496,no
43,management,married,secondary,no,452,yes,no,unknown,16,may,107,no
32,technician,single,secondary,no,0,no,no,cellular,3,feb,446,no
62,retired,married,secondary,no,298,no,no,cellular,17,nov,709,yes
33,management,married,tertiary,no,1138,no,no,cellular,28,aug,73,no
40,student,married,secondary,no,260,no,no,unknown,20,jun,197,no
27,student,single,tertiary,no,1390,no,no,cellular,30,apr,152,no
37,management,single,tertiary,no,698,no,no,cellular,8,sep,1081,yes
49,blue-collar,married,primary,no,361,yes,no,unknown,16,jun,513,yes
37,blue-collar,single,secondary,no,133,yes,no,cellular,11,may,1388,yes
35,blue-collar,married,secondary,no,3015,yes,no,unknown,9,jun,753,no
62,blue-collar,married,secondary,no,272,no,no,cellular,11,aug,146,yes
34,admin.,single,secondary,no,63,yes,no,cellular,17,apr,678,yes
36,services,married,secondary,no,115,no,no,unknown,21,may,114,no
28,services,married,secondary,no,1214,no,no,unknown,28,may,582,no
58,management,married,unknown,no,0,no,no,unknown,11,jun,145,no
30,services,single,secondary,no,595,yes,no,cellular,17,apr,172,no
42,technician,single,secondary,no,275,no,no,cellular,26,aug,31,no
39,blue-collar,married,primary,no,157,yes,no,cellular,13,may,290,no
54,management,divorced,tertiary,no,2171,yes,yes,telephone,18,nov,1034,yes
58,admin.,married,secondary,no,169,no,no,cellular,16,nov,301,yes
47,blue-collar,married,secondary,no,2787,no,no,cellular,11,aug,479,yes
39,blue-collar,married,unknown,no,1181,yes,no,cellular,30,jul,650,yes
43,management,married,tertiary,no,400,yes,no,unknown,5,may,256,no
50,technician,married,secondary,no,3370,no,no,cellular,2,jun,160,yes
45,technician,married,secondary,no,3460,no,no,cellular,27,aug,116,no
48,admin.,single,secondary,no,0,yes,yes,cellular,8,jul,72,no
37,technician,married,secondary,no,427,yes,yes,unknown,27,may,335,no
30,management,single,tertiary,no,985,yes,no,cellular,25,oct,304,yes
32,entrepreneur,single,tertiary,no,-34,yes,no,cellular,11,mar,101,yes
46,self-employed,married,tertiary,no,2421,no,no,cellular,19,nov,1084,yes
34,management,single,tertiary,no,2360,yes,no,cellular,15,may,137,no
33,management,married,tertiary,no,442,yes,no,unknown,7,may,463,no
58,blue-collar,married,primary,no,5279,yes,no,unknown,17,jun,93,no
31,technician,single,secondary,no,53,yes,yes,cellular,6,may,530,yes
44,blue-collar,married,secondary,no,878,yes,no,cellular,2,jun,130,no
35,admin.,married,secondary,no,437,yes,no,cellular,17,apr,123,no
32,student,single,tertiary,no,1138,no,no,telephone,10,feb,402,yes
28,student,single,secondary,no,153,no,no,cellular,23,jul,1124,yes
56,retired,married,secondary,no,334,no,no,cellular,21,jul,101,no
51,services,divorced,secondary,no,9,no,no,unknown,18,jun,371,yes
52,blue-collar,married,secondary,no,1405,no,yes,cellular,17,jul,753,yes
25,management,single,tertiary,no,1628,no,no,cellular,2,jun,91,no
40,management,married,secondary,no,4025,yes,no,cellular,15,jul,107,no
57,services,married,secondary,no,140,yes,no,cellular,9,jul,143,no
77,retired,married,primary,no,680,no,no,telephone,24,feb,513,no
28,blue-collar,single,secondary,no,524,yes,no,cellular,6,may,554,yes
50,entrepreneur,married,secondary,no,1011,yes,no,telephone,30,jul,340,no
25,admin.,single,secondary,no,122,yes,no,cellular,7,may,481,yes
27,student,single,secondary,no,6036,no,no,cellular,31,mar,175,yes
34,management,single,tertiary,no,-578,yes,no,cellular,18,may,767,yes
59,retired,divorced,secondary,no,679,no,no,cellular,30,jul,761,yes
55,housemaid,divorced,unknown,no,603,no,no,telephone,31,jul,91,no
46,housemaid,divorced,primary,no,2084,yes,no,cellular,18,jul,1081,yes
36,technician,married,secondary,no,197,yes,no,cellular,7,may,589,no
51,blue-collar,married,secondary,no,7180,yes,no,unknown,14,may,927,yes
45,technician,married,secondary,no,34,no,no,cellular,26,aug,333,no
24,admin.,single,secondary,no,1052,no,no,cellular,30,apr,354,yes
33,student,married,secondary,no,1536,no,no,cellular,6,aug,258,yes
41,self-employed,married,secondary,yes,0,yes,no,cellular,17,nov,789,yes
45,blue-collar,single,secondary,no,91,no,yes,cellular,14,jul,55,no
35,unemployed,married,primary,no,3285,no,no,cellular,21,nov,1555,yes
34,blue-collar,married,secondary,no,172,no,no,cellular,12,aug,237,no
50,housemaid,married,secondary,no,388,no,no,cellular,11,mar,203,yes
46,management,married,tertiary,no,273,yes,no,cellular,18,mar,910,yes
44,unemployed,married,primary,yes,-43,yes,no,cellular,9,feb,290,no
35,management,single,tertiary,no,1756,no,no,cellular,20,aug,195,yes
34,admin.,married,secondary,no,-191,yes,no,cellular,17,jul,156,no
32,entrepreneur,married,tertiary,no,762,no,no,cellular,19,jul,187,yes
44,entrepreneur,married,tertiary,no,121,no,no,cellular,9,nov,248,yes
56,entrepreneur,married,unknown,no,0,no,no,unknown,20,jun,39,no
32,blue-collar,single,primary,no,1137,yes,yes,cellular,6,may,274,no
41,admin.,married,secondary,no,3126,yes,no,cellular,29,jun,222,yes
35,management,married,tertiary,no,387,yes,no,cellular,16,jul,254,no
30,admin.,married,secondary,no,166,no,no,unknown,14,jun,30,no
40,self-employed,single,tertiary,no,10346,no,no,cellular,15,jun,491,yes
32,services,single,primary,no,-56,no,yes,cellular,19,nov,418,no
52,management,divorced,tertiary,no,147,no,no,cellular,30,jul,90,no
42,management,single,secondary,no,2535,yes,no,unknown,14,may,339,no
34,admin.,single,tertiary,no,18,yes,yes,cellular,30,apr,359,yes
34,blue-collar,married,primary,no,-1,yes,no,cellular,18,may,1057,yes
48,unemployed,divorced,secondary,no,201,no,no,cellular,11,aug,140,yes
29,blue-collar,married,secondary,no,-305,yes,yes,cellular,7,jul,263,no
26,technician,single,secondary,no,639,yes,no,unknown,6,jun,709,yes
43,admin.,single,secondary,no,2539,yes,no,unknown,16,may,529,no
31,management,single,tertiary,no,816,yes,no,cellular,26,may,302,no
42,technician,single,secondary,yes,-1129,yes,no,unknown,2,jun,555,yes
31,technician,single,tertiary,no,17,no,no,cellular,26,aug,239,no
26,technician,single,secondary,no,3382,no,no,cellular,24,jul,844,no
38,blue-collar,single,secondary,no,1121,no,no,unknown,18,jun,203,no
39,self-employed,married,secondary,no,1317,no,no,unknown,17,jun,42,no
35,blue-collar,married,primary,no,414,no,no,unknown,13,may,504,yes
39,admin.,married,secondary,yes,0,no,no,unknown,29,may,59,no
27,management,single,secondary,no,843,no,no,cellular,8,jan,187,yes
26,technician,single,secondary,no,24299,yes,no,unknown,13,may,704,no
37,entrepreneur,divorced,tertiary,no,66,no,no,cellular,18,nov,1164,yes
27,student,single,secondary,no,253,no,no,cellular,25,may,242,yes
32,management,single,secondary,no,131,yes,yes,cellular,23,jul,1152,yes
39,management,married,tertiary,no,297,yes,no,cellular,13,may,734,yes
37,admin.,single,primary,no,912,yes,no,cellular,12,may,637,yes
29,technician,single,secondary,no,290,yes,yes,cellular,8,jul,293,no
60,management,divorced,secondary,no,0,no,no,cellular,5,aug,603,yes
35,management,married,tertiary,no,0,yes,no,cellular,11,feb,391,yes
37,management,married,secondary,no,565,no,no,cellular,6,aug,174,yes
45,self-employed,married,tertiary,no,430,yes,no,cellular,2,feb,221,no
29,self-employed,married,tertiary,no,0,yes,no,cellular,7,may,253,no
59,retired,married,secondary,no,3812,yes,no,telephone,11,jul,498,no
34,unemployed,single,secondary,no,1965,no,no,telephone,4,may,714,yes
46,self-employed,divorced,tertiary,no,21,no,no,cellular,30,jul,566,yes
42,blue-collar,single,primary,no,4930,no,no,unknown,18,jun,973,yes
26,admin.,single,secondary,no,685,no,no,cellular,5,feb,388,no
33,technician,single,tertiary,no,68,no,no,cellular,14,aug,96,no
29,management,single,tertiary,no,265,no,no,cellular,24,aug,130,yes
34,technician,married,tertiary,no,3743,yes,no,cellular,18,may,722,yes
28,unemployed,single,tertiary,no,497,yes,no,cellular,24,jul,1602,yes
36,admin.,single,tertiary,no,994,no,no,cellular,5,feb,195,yes
48,blue-collar,single,tertiary,no,2330,yes,no,unknown,4,jun,15,no
36,technician,single,secondary,no,310,no,no,cellular,21,aug,115,no
27,management,single,tertiary,no,703,yes,no,unknown,5,jun,590,yes
33,technician,married,secondary,no,277,no,no,cellular,7,aug,155,no
51,entrepreneur,married,secondary,no,0,no,no,unknown,30,may,510,no
25,admin.,single,tertiary,no,1185,no,no,cellular,7,oct,290,yes
32,services,single,secondary,no,124,yes,no,cellular,6,feb,202,no
49,services,divorced,secondary,no,0,no,no,cellular,28,jul,412,yes
60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,yes
44,self-employed,single,tertiary,no,1367,yes,no,cellular,13,apr,1232,yes
45,technician,married,secondary,no,1831,no,no,cellular,27,may,275,yes
41,blue-collar,married,secondary,no,338,yes,no,unknown,14,may,87,no
39,services,married,secondary,no,87,no,no,cellular,8,jul,114,no
56,blue-collar,married,secondary,no,126,no,no,cellular,14,may,113,no
67,retired,divorced,secondary,no,704,no,no,cellular,8,feb,186,yes
39,technician,divorced,secondary,no,291,yes,no,cellular,7,may,882,yes
53,management,married,tertiary,no,1624,no,no,cellular,30,apr,284,yes
50,management,married,tertiary,no,469,no,no,cellular,16,oct,170,yes
40,technician,married,tertiary,no,677,yes,no,cellular,15,apr,110,no
43,management,married,tertiary,no,13044,no,no,cellular,18,aug,36,no
28,student,single,secondary,no,1925,no,no,cellular,25,nov,487,yes
55,management,married,tertiary,no,12972,no,no,telephone,18,aug,205,yes
34,housemaid,married,primary,no,2929,no,no,cellular,14,aug,518,yes
42,blue-collar,married,secondary,no,865,no,yes,unknown,5,jun,81,no
52,admin.,divorced,secondary,no,725,yes,no,cellular,20,apr,57,no
37,technician,single,tertiary,no,197,no,no,cellular,16,nov,175,yes
29,technician,single,tertiary,no,673,yes,no,cellular,9,feb,835,yes
46,services,married,primary,no,4343,yes,no,unknown,20,sep,185,yes
36,management,married,tertiary,no,-381,yes,no,cellular,31,jul,30,no
55,services,married,unknown,no,2944,no,no,cellular,27,aug,672,yes
36,services,married,secondary,no,1694,yes,yes,unknown,23,may,164,no
40,technician,married,secondary,no,826,no,no,unknown,24,feb,174,no
33,technician,married,secondary,no,557,no,no,cellular,4,may,367,yes
35,management,married,primary,no,0,yes,yes,cellular,9,apr,260,no
42,technician,married,secondary,no,422,yes,no,cellular,16,jul,400,no
49,admin.,single,tertiary,no,228,yes,no,cellular,3,sep,252,yes
38,technician,single,tertiary,no,1077,yes,yes,cellular,29,jan,87,no
47,blue-collar,divorced,primary,no,126,yes,no,unknown,3,jun,2456,yes
24,services,single,secondary,yes,-122,yes,no,unknown,13,may,1000,yes
34,technician,single,secondary,no,2085,no,no,cellular,10,aug,356,yes
69,retired,married,secondary,no,2473,no,no,cellular,8,jul,967,yes
58,retired,divorced,tertiary,no,3237,no,no,telephone,31,oct,615,yes
32,management,single,tertiary,no,47,no,no,cellular,19,aug,133,no
48,admin.,married,secondary,no,368,no,no,cellular,8,oct,363,yes
31,management,single,tertiary,no,1619,no,no,cellular,30,apr,327,yes
27,technician,single,tertiary,no,4661,no,no,cellular,8,apr,114,yes
53,blue-collar,married,unknown,no,2509,no,no,telephone,22,may,231,yes
39,blue-collar,married,primary,no,70,no,no,unknown,8,may,813,yes
31,admin.,married,secondary,no,8781,yes,no,cellular,14,may,680,yes
41,blue-collar,married,secondary,no,2823,yes,no,unknown,14,may,858,yes
62,technician,married,secondary,no,135,yes,no,telephone,16,nov,446,no
27,blue-collar,married,secondary,no,-330,yes,yes,cellular,14,may,88,no
41,unemployed,single,primary,no,216,no,no,cellular,5,jun,577,yes
50,management,married,secondary,no,0,yes,no,unknown,14,may,214,no
50,admin.,married,secondary,no,761,no,yes,cellular,5,feb,273,no
32,admin.,single,secondary,no,555,yes,no,cellular,9,sep,344,yes
33,management,divorced,tertiary,no,2240,no,no,cellular,8,mar,264,yes
32,management,single,secondary,no,1088,yes,no,cellular,6,apr,317,yes
45,unemployed,divorced,secondary,no,3354,yes,no,unknown,29,may,746,yes
35,admin.,divorced,secondary,no,3636,no,yes,cellular,21,nov,808,yes
26,services,single,secondary,no,38,no,no,telephone,28,aug,268,no
53,services,married,secondary,no,660,no,no,cellular,2,feb,210,no
40,services,single,secondary,no,224,yes,no,cellular,17,apr,875,yes
31,blue-collar,married,secondary,no,136,no,no,cellular,12,may,228,yes
23,student,single,secondary,no,431,no,no,cellular,15,feb,201,yes
52,unemployed,married,secondary,no,1416,no,no,cellular,13,sep,218,yes
57,retired,single,tertiary,no,2528,yes,yes,unknown,30,may,724,no
34,management,married,tertiary,no,417,yes,no,cellular,18,nov,138,no
36,technician,married,tertiary,no,376,no,no,cellular,16,sep,173,yes
47,blue-collar,divorced,primary,no,409,yes,no,cellular,13,may,143,no
70,retired,married,secondary,no,2575,no,no,telephone,20,apr,216,yes
48,technician,married,secondary,yes,0,no,no,unknown,30,may,682,yes
44,blue-collar,married,secondary,no,215,no,yes,cellular,28,jul,180,no
27,blue-collar,single,secondary,no,3792,no,no,cellular,22,apr,279,yes
28,admin.,single,secondary,no,352,yes,yes,cellular,18,may,431,yes
36,unemployed,single,tertiary,no,1291,no,no,cellular,30,apr,195,yes
35,management,married,secondary,no,0,no,yes,unknown,4,jul,121,no
31,management,single,tertiary,no,1858,no,no,cellular,12,aug,453,yes
22,student,single,secondary,no,47,no,no,cellular,14,aug,236,no
31,blue-collar,single,secondary,no,823,yes,yes,cellular,7,apr,208,no
42,unknown,single,unknown,no,942,no,no,cellular,27,jan,245,yes
36,blue-collar,married,primary,no,408,yes,yes,unknown,20,may,1063,yes
36,blue-collar,married,secondary,no,80,yes,yes,cellular,5,may,234,no
49,technician,married,secondary,no,1684,no,yes,cellular,1,jun,412,yes
29,management,single,tertiary,no,765,no,no,cellular,16,nov,238,yes
27,management,single,secondary,no,178,yes,no,unknown,3,jun,732,yes
36,management,single,tertiary,no,1379,no,no,cellular,25,may,189,yes
35,unknown,married,unknown,no,0,no,no,unknown,6,jun,159,no
52,technician,married,tertiary,no,3440,yes,no,cellular,17,nov,124,no
40,retired,married,primary,no,407,yes,no,unknown,7,may,502,no
50,self-employed,married,secondary,no,6174,yes,yes,unknown,29,may,456,no
27,management,single,tertiary,no,497,no,no,cellular,5,feb,125,no
58,management,married,tertiary,no,16264,no,no,telephone,17,nov,215,no
48,technician,divorced,secondary,no,94,yes,no,cellular,12,may,87,no
23,services,single,secondary,no,870,no,no,cellular,6,jul,316,yes
82,retired,married,primary,no,8603,no,no,cellular,22,oct,306,yes
28,admin.,divorced,secondary,no,-504,yes,yes,cellular,14,may,578,yes
42,technician,single,tertiary,no,2625,no,no,cellular,29,jul,2516,yes
42,admin.,married,secondary,no,2656,yes,no,unknown,14,may,238,no
40,services,married,secondary,no,446,yes,no,unknown,16,may,1252,yes
20,student,single,unknown,no,179,no,no,cellular,25,mar,196,no
26,technician,single,secondary,no,2610,yes,yes,unknown,2,jun,626,no
48,blue-collar,married,secondary,no,1000,yes,no,unknown,12,jun,1268,yes
34,management,married,tertiary,no,786,yes,yes,cellular,18,nov,250,no
51,blue-collar,married,primary,no,603,yes,no,cellular,24,jul,853,yes
32,management,single,tertiary,no,3367,no,no,cellular,25,aug,153,no
30,blue-collar,married,secondary,no,537,yes,no,cellular,22,jul,661,no
30,services,single,tertiary,no,1788,no,no,cellular,4,aug,288,yes
30,services,single,secondary,no,1846,yes,no,cellular,19,nov,87,no
48,management,married,secondary,no,268,yes,no,cellular,28,jul,458,yes
28,unemployed,single,primary,no,1374,no,no,cellular,23,apr,203,yes
30,services,single,secondary,no,495,yes,no,cellular,21,nov,641,yes
27,blue-collar,single,secondary,no,294,yes,yes,unknown,28,may,694,yes
26,unemployed,single,secondary,no,387,no,no,cellular,6,feb,506,no
48,management,married,tertiary,no,4852,no,no,cellular,26,aug,41,no
40,entrepreneur,married,tertiary,yes,0,no,no,unknown,19,jun,952,yes
42,management,divorced,tertiary,no,624,no,no,cellular,18,aug,75,no
72,retired,married,secondary,no,5715,no,no,cellular,17,nov,1127,yes
52,management,married,tertiary,no,0,yes,yes,cellular,7,may,541,no
49,management,married,tertiary,no,3063,yes,no,cellular,18,may,68,no
41,technician,divorced,secondary,no,692,yes,no,cellular,30,jan,249,no
55,technician,divorced,tertiary,no,0,no,no,cellular,18,aug,237,yes
36,management,single,tertiary,no,0,yes,no,unknown,3,jun,174,no
35,blue-collar,married,secondary,no,233,yes,no,cellular,13,may,66,no
26,management,single,tertiary,no,-3,no,no,cellular,13,apr,1022,yes
45,admin.,married,secondary,no,1097,yes,yes,cellular,2,feb,174,no
34,blue-collar,married,primary,no,-167,yes,no,unknown,21,may,201,no
35,blue-collar,divorced,unknown,no,164,no,no,unknown,11,jun,967,yes
23,student,single,unknown,no,2530,no,no,cellular,12,may,411,yes
57,technician,married,tertiary,no,0,no,no,cellular,21,aug,242,no
49,management,married,tertiary,no,0,no,no,cellular,19,aug,78,no
28,technician,single,tertiary,no,4987,no,no,cellular,9,feb,253,yes
52,housemaid,married,primary,no,1837,no,no,unknown,6,jun,118,no
39,unemployed,married,secondary,no,1654,no,no,unknown,20,jun,264,no
36,admin.,single,tertiary,no,1568,no,no,unknown,17,jun,433,no
36,management,married,tertiary,no,849,yes,yes,unknown,21,may,958,yes
40,blue-collar,married,primary,no,2502,yes,no,cellular,18,may,205,no
36,blue-collar,married,secondary,no,306,no,no,cellular,31,jul,43,no
33,management,married,tertiary,no,250,no,no,cellular,4,mar,377,yes
46,blue-collar,married,secondary,no,15,yes,yes,cellular,20,aug,76,no
33,entrepreneur,single,tertiary,no,300,yes,yes,cellular,30,jan,922,yes
42,management,married,tertiary,no,-1613,yes,no,unknown,20,jun,9,no
37,unemployed,married,secondary,no,117,no,no,cellular,12,aug,144,no
58,services,married,secondary,no,0,no,no,unknown,20,jun,241,no
38,admin.,married,secondary,no,755,yes,no,cellular,17,feb,120,yes
32,blue-collar,married,primary,no,1287,yes,no,cellular,14,apr,297,no
34,management,single,secondary,no,194,no,no,cellular,29,aug,186,no
34,blue-collar,divorced,unknown,no,172,no,no,cellular,15,jun,177,yes
57,management,divorced,tertiary,no,3287,no,no,cellular,30,mar,277,yes
41,technician,single,tertiary,no,1646,yes,no,cellular,5,aug,172,yes
33,admin.,married,secondary,no,95,yes,no,cellular,30,apr,335,yes
36,blue-collar,married,primary,no,319,yes,no,cellular,13,may,774,yes
38,retired,married,unknown,no,304,no,no,cellular,11,may,94,no
62,retired,married,secondary,no,2801,yes,yes,cellular,9,sep,261,yes
35,management,married,tertiary,no,991,yes,no,cellular,6,may,1489,yes
33,management,married,tertiary,no,5878,no,no,cellular,23,oct,438,yes
44,self-employed,divorced,tertiary,no,1070,yes,no,cellular,12,aug,137,yes
27,blue-collar,married,secondary,no,4333,no,no,cellular,20,apr,163,yes
37,management,married,tertiary,no,410,no,no,cellular,29,jan,337,no
54,housemaid,divorced,primary,no,2253,yes,no,cellular,5,feb,266,no
34,admin.,married,secondary,no,1406,yes,no,cellular,20,aug,63,yes
30,management,married,tertiary,no,802,yes,no,cellular,13,aug,105,no
41,entrepreneur,single,secondary,no,663,no,no,cellular,24,jul,1204,yes
44,unemployed,married,secondary,no,0,yes,no,cellular,2,feb,699,yes
42,management,single,tertiary,no,11891,no,no,cellular,6,apr,158,yes
57,management,married,secondary,no,2155,no,yes,cellular,11,aug,82,no
28,management,married,tertiary,no,22,yes,no,cellular,31,jul,59,no
57,retired,married,secondary,no,5313,no,no,cellular,3,jun,200,yes
24,student,single,secondary,no,125,no,no,cellular,9,nov,263,yes
44,management,married,tertiary,no,278,no,no,cellular,28,aug,95,no
34,technician,married,tertiary,no,11126,no,no,cellular,25,aug,140,no
28,blue-collar,married,secondary,no,61,yes,no,cellular,21,aug,744,yes
27,technician,single,secondary,no,2,yes,yes,cellular,6,may,554,yes
36,management,married,tertiary,no,1133,yes,no,cellular,4,aug,293,yes
32,technician,single,tertiary,no,3818,no,no,cellular,18,aug,100,no
60,management,married,secondary,no,544,no,no,cellular,12,jun,95,yes
33,management,married,primary,no,142,yes,no,cellular,15,may,87,no
37,management,divorced,tertiary,no,488,yes,no,cellular,17,sep,328,yes
31,entrepreneur,married,tertiary,no,1216,no,no,cellular,8,aug,150,no
31,management,divorced,tertiary,no,71,no,no,cellular,12,mar,119,yes
31,unemployed,married,secondary,no,314,yes,no,cellular,20,nov,1341,yes
28,admin.,single,secondary,no,127,no,no,cellular,16,sep,1334,yes
37,entrepreneur,single,secondary,no,-22,yes,no,cellular,15,may,317,yes
41,services,married,secondary,no,714,yes,yes,unknown,15,may,504,no
50,admin.,married,secondary,no,1575,no,no,cellular,17,nov,407,no
72,retired,married,primary,no,4657,no,no,cellular,22,dec,305,yes
37,blue-collar,married,primary,no,106,yes,no,cellular,25,aug,511,yes
40,housemaid,married,secondary,no,949,no,no,cellular,8,aug,182,no
31,technician,married,tertiary,no,120,no,no,cellular,8,aug,1000,yes
40,technician,married,tertiary,no,11766,yes,no,cellular,13,apr,218,yes
52,admin.,married,secondary,no,531,no,no,unknown,5,jun,222,no
57,self-employed,married,primary,no,1013,yes,no,unknown,7,may,448,no
31,technician,single,tertiary,no,1214,no,no,cellular,3,feb,39,no
51,management,married,tertiary,no,2635,no,no,cellular,1,sep,181,yes
48,admin.,married,secondary,no,344,no,no,cellular,30,apr,364,no
26,technician,single,secondary,no,1231,yes,no,cellular,3,jun,385,yes
28,admin.,married,secondary,no,1595,no,no,unknown,9,sep,1,no
25,blue-collar,single,primary,no,2483,no,no,cellular,10,jul,1499,yes
50,blue-collar,divorced,primary,no,149,yes,no,unknown,7,may,74,no
48,admin.,divorced,secondary,no,1180,no,no,cellular,27,jan,142,yes
50,management,married,tertiary,no,126,yes,no,cellular,12,may,132,no
35,management,married,tertiary,no,495,no,no,cellular,30,apr,266,yes
27,student,single,tertiary,no,1,no,no,cellular,25,jul,73,no
46,technician,divorced,secondary,no,-824,yes,no,cellular,7,aug,429,yes
49,blue-collar,divorced,primary,no,24,yes,no,cellular,11,may,701,yes
46,blue-collar,married,primary,no,580,yes,no,telephone,4,feb,30,no
35,self-employed,single,tertiary,no,353,no,no,cellular,11,feb,352,yes
34,services,divorced,secondary,no,0,yes,yes,unknown,20,may,203,no
33,management,single,tertiary,no,0,yes,no,cellular,13,may,585,yes
48,management,single,tertiary,no,159,no,no,telephone,7,jul,229,yes
43,management,married,tertiary,no,40,no,no,cellular,10,feb,147,yes
59,retired,divorced,primary,no,-88,yes,no,unknown,5,jun,910,yes
48,blue-collar,married,secondary,no,0,yes,no,unknown,26,may,105,no
51,technician,married,secondary,no,532,yes,yes,cellular,18,nov,346,no
29,blue-collar,single,tertiary,no,455,no,no,cellular,22,oct,542,yes
36,services,single,secondary,no,80,no,yes,cellular,17,jul,258,no
43,blue-collar,married,secondary,no,490,yes,no,cellular,8,may,216,no
30,admin.,divorced,secondary,no,891,no,no,cellular,15,may,340,no
44,management,divorced,tertiary,no,36,no,no,cellular,26,oct,127,no
45,services,single,primary,no,1893,yes,no,unknown,3,jun,1259,yes
40,management,single,primary,no,259,yes,no,cellular,8,may,70,no
35,admin.,married,secondary,no,846,yes,yes,unknown,19,may,175,no
32,technician,single,tertiary,no,34646,no,no,telephone,13,aug,618,yes
28,management,single,tertiary,no,866,no,no,cellular,23,mar,191,yes
45,admin.,married,secondary,no,149,yes,no,unknown,23,may,893,yes
35,admin.,single,secondary,no,414,yes,no,unknown,13,may,386,no
73,management,married,tertiary,no,1609,no,no,cellular,14,jul,169,yes
27,technician,single,tertiary,no,667,no,no,cellular,29,jan,866,yes
34,admin.,married,tertiary,no,69,no,yes,cellular,4,aug,120,yes
71,retired,married,tertiary,no,2887,no,no,cellular,30,jun,128,yes
41,blue-collar,married,primary,no,246,no,no,unknown,19,jun,683,yes
39,unemployed,married,primary,no,7005,yes,no,cellular,28,jul,429,yes
73,retired,married,tertiary,no,2575,no,no,cellular,17,aug,152,no
66,retired,divorced,unknown,no,53,no,no,cellular,12,jul,562,yes
30,admin.,single,tertiary,no,5,no,yes,cellular,11,jul,58,no
58,blue-collar,married,primary,no,5188,yes,no,cellular,25,aug,606,yes
35,admin.,married,secondary,no,-203,yes,no,cellular,11,jul,1649,yes
19,student,single,primary,no,103,no,no,cellular,15,oct,96,no
44,services,divorced,secondary,no,2416,yes,no,unknown,14,may,304,no
42,self-employed,married,tertiary,no,1932,yes,no,unknown,16,may,192,no
26,student,single,tertiary,no,294,no,no,cellular,4,dec,208,yes
40,admin.,married,tertiary,no,764,yes,no,unknown,17,nov,85,yes
25,entrepreneur,single,tertiary,no,347,no,no,cellular,20,aug,267,yes
35,admin.,married,secondary,no,3863,yes,no,cellular,20,nov,239,no
44,blue-collar,divorced,secondary,no,370,yes,no,cellular,11,may,128,no
39,admin.,married,secondary,no,145,yes,yes,cellular,13,may,337,no
43,blue-collar,married,secondary,no,14646,no,no,cellular,23,oct,210,yes
60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,yes
45,blue-collar,married,primary,no,147,no,no,cellular,14,aug,109,no
41,services,married,secondary,no,108,yes,yes,unknown,13,may,83,no
59,technician,married,secondary,no,10925,no,no,cellular,21,apr,100,yes
33,technician,single,secondary,no,390,yes,no,cellular,14,jul,254,no
57,retired,married,secondary,no,1749,no,no,cellular,17,nov,288,no
42,technician,divorced,secondary,no,314,yes,no,unknown,30,oct,234,yes
38,technician,married,secondary,no,253,yes,no,unknown,5,may,416,no
60,services,married,tertiary,no,4256,yes,no,cellular,16,nov,200,yes
30,management,single,tertiary,no,1161,yes,no,cellular,29,jul,109,no
45,blue-collar,divorced,primary,no,-311,yes,no,unknown,23,may,1030,yes
36,management,single,secondary,no,532,yes,no,cellular,6,may,50,no
56,management,divorced,tertiary,no,968,no,no,cellular,17,nov,105,no
46,blue-collar,married,primary,no,596,yes,no,unknown,3,jun,404,no
52,management,married,secondary,no,4873,no,no,cellular,8,jul,99,no
42,management,divorced,tertiary,no,9,yes,no,cellular,21,jul,509,no
